train_loss,val_loss
1.06742687150836,"tensor(0.0920, device='cuda:0')"
1.0589409530162812,"tensor(0.0858, device='cuda:0')"
1.060564036667347,"tensor(0.0813, device='cuda:0')"
1.0716057047247887,"tensor(0.0894, device='cuda:0')"
1.07138634622097,"tensor(0.1066, device='cuda:0')"
1.073116549104452,"tensor(0.0868, device='cuda:0')"
1.069780559837818,"tensor(0.0951, device='cuda:0')"
1.0782107256352902,"tensor(0.0888, device='cuda:0')"
1.069370348006487,"tensor(0.0935, device='cuda:0')"
1.0708857096731663,"tensor(0.0737, device='cuda:0')"
1.0517131753265858,"tensor(0.0890, device='cuda:0')"
1.0676350511610508,"tensor(0.0821, device='cuda:0')"
1.0653063289821147,"tensor(0.0851, device='cuda:0')"
1.0704383820295333,"tensor(0.0856, device='cuda:0')"
1.0433478102087974,"tensor(0.0773, device='cuda:0')"
1.092414714396,"tensor(0.0829, device='cuda:0')"
1.0866598561406136,"tensor(0.0748, device='cuda:0')"
1.0596645668148994,"tensor(0.0862, device='cuda:0')"
1.0580683641135693,"tensor(0.0724, device='cuda:0')"
1.0655834563076496,"tensor(0.0974, device='cuda:0')"
1.0598080545663833,"tensor(0.0941, device='cuda:0')"
1.0657625213265418,"tensor(0.0723, device='cuda:0')"
1.0584542527794838,"tensor(0.0831, device='cuda:0')"
1.060560555011034,"tensor(0.0835, device='cuda:0')"
1.0604364059865474,"tensor(0.0888, device='cuda:0')"
1.0483353927731514,"tensor(0.0762, device='cuda:0')"
1.0411149516701699,"tensor(0.0723, device='cuda:0')"
1.0641887955367566,"tensor(0.0799, device='cuda:0')"
1.054746214300394,"tensor(0.0899, device='cuda:0')"
1.0388085834681988,"tensor(0.0754, device='cuda:0')"
1.0517599068582058,"tensor(0.0827, device='cuda:0')"
1.0269067466259003,"tensor(0.1003, device='cuda:0')"
1.0357387736439705,"tensor(0.0717, device='cuda:0')"
1.070529156178236,"tensor(0.0867, device='cuda:0')"
1.0640009939670563,"tensor(0.0731, device='cuda:0')"
1.0443253241479398,"tensor(0.0769, device='cuda:0')"
1.0305717177689075,"tensor(0.0791, device='cuda:0')"
1.023131912201643,"tensor(0.1006, device='cuda:0')"
1.04388435035944,"tensor(0.0807, device='cuda:0')"
1.053105365484953,"tensor(0.0969, device='cuda:0')"
1.0350400418043137,"tensor(0.0909, device='cuda:0')"
1.0409106232225895,"tensor(0.0832, device='cuda:0')"
1.0445959106087686,"tensor(0.0649, device='cuda:0')"
1.041429366916418,"tensor(0.0791, device='cuda:0')"
1.027700475603342,"tensor(0.0841, device='cuda:0')"
1.0273994222283362,"tensor(0.0759, device='cuda:0')"
1.029500164836645,"tensor(0.0886, device='cuda:0')"
1.0095776371657847,"tensor(0.0766, device='cuda:0')"
1.0312498390674592,"tensor(0.0740, device='cuda:0')"
1.0196579590439796,"tensor(0.0776, device='cuda:0')"
1.0196777381002904,"tensor(0.0688, device='cuda:0')"
